Rank,Fitness,Chromosome
0,0.924691,"[['tdg', 'z', 'crx(1,1.56870037036765)'], ['-', 'crx(0,1.5715591769541386)', 'h'], ['-', 'h', 'crz(0,0.7926701196032933)'], ['h', 'w', 'w']]"
1,0.924689,"[['tdg', 'sdg', 'crx(1,1.5626585528627865)'], ['-', 'crx(0,1.5705208506604804)', 'h'], ['-', 'h', 'crz(0,0.7856166574261354)'], ['h', 'w', 'w']]"
2,0.924688,"[['tdg', 't', 'crx(1,1.5639971653218003)'], ['-', 'crx(0,1.572769125161635)', 'h'], ['-', 'h', 'crz(0,0.7834636910039874)'], ['h', 'w', 'w']]"
3,0.924675,"[['tdg', 'sdg', 'crx(1,1.563481738366474)'], ['-', 'crx(0,1.574208236256151)', 'h'], ['-', 'h', 'crz(0,0.8005445856554453)'], ['h', '-', 'swap(1)']]"
4,0.924673,"[['tdg', 'z', 'crx(1,1.5644635809363856)'], ['-', 'crx(0,1.563610117671919)', 'h'], ['-', 'h', 'crz(0,0.777768125100695)'], ['h', '-', 'swap(1)']]"
5,0.924673,"[['tdg', 'sdg', 'crx(1,1.5743184773405292)'], ['-', 'crx(0,1.5647236269414382)', 'h'], ['-', 'h', 'crz(0,0.7961096895601989)'], ['h', '-', 'swap(1)']]"
6,0.924672,"[['tdg', 't', 'crx(1,1.5856619698345806)'], ['-', 'crx(0,1.5770146056281737)', 'h'], ['-', 'h', 'crz(0,0.7793095241107053)'], ['h', '-', 'swap(1)']]"
7,0.924669,"[['tdg', 'z', 'crx(1,1.5638066589582684)'], ['-', 'crx(0,1.5630144311903598)', 'h'], ['-', 'h', 'crz(0,0.800690031744231)'], ['h', 'w', 'w']]"
8,0.924665,"[['t', 's', 'crx(1,1.5583034014622856)'], ['-', 'crx(0,1.5608810611236428)', 'h'], ['-', 'h', 'crz(0,0.7843689438831826)'], ['h', 'w', 'w']]"
9,0.924664,"[['tdg', 'sdg', 'crx(1,1.5565415731558732)'], ['-', 'crx(0,1.5596121610227736)', 'h'], ['-', 'h', 'crz(0,0.7927802264519903)'], ['h', '-', 'swap(1)']]"
