Iteration,Rank,Fitness,Chromosome
19999,0,0.919443,"[['h', '-', 'crx(1,1.586966386920044)'], ['-', '-', 'h'], ['-', '-', 'rz(0.38185401700843596)'], ['crx(2,0.7943557373541094)', 'h', '-'], ['crx(1,1.5743874017181643)', 't', '-']]"
19999,1,0.919443,"[['h', '-', 'crx(1,1.5695326545851112)'], ['-', '-', 'h'], ['-', '-', 'rz(0.39769934154675873)'], ['crx(2,0.7696769687455618)', 'h', '-'], ['crx(1,1.561936468419802)', 't', '-']]"
19999,2,0.919442,"[['h', '-', 'crx(1,1.5731595879965166)'], ['-', '-', 'h'], ['-', '-', 'rz(0.398928211923131)'], ['crx(2,0.7974098458856826)', 'h', '-'], ['crx(1,1.577417208504566)', 't', '-']]"
19999,3,0.919433,"[['h', '-', 'crx(1,1.5850014255921163)'], ['-', '-', 'h'], ['-', '-', 'rz(0.3881937834588816)'], ['crx(2,0.789913547232713)', 'h', '-'], ['crx(1,1.5528397276161081)', 't', '-']]"
19999,4,0.919430,"[['h', '-', 'crx(1,1.573791807971206)'], ['-', '-', 'h'], ['-', '-', 'rz(0.3839267687791238)'], ['crx(2,0.8014548123745355)', 'h', '-'], ['crx(1,1.5592504483914325)', 't', '-']]"
19999,5,0.919426,"[['h', '-', 'crx(1,1.583536985778328)'], ['-', '-', 'h'], ['-', '-', 'rz(0.3835870315068205)'], ['crx(2,0.7636859933397625)', 'h', '-'], ['crx(1,1.5756418163392671)', 't', '-']]"
19999,6,0.919420,"[['h', '-', 'crx(1,1.555415327978147)'], ['-', '-', 'h'], ['-', '-', 'rz(0.4026182449370441)'], ['crx(2,0.7804549945389172)', 'h', '-'], ['crx(1,1.5483839616069948)', 't', '-']]"
19999,7,0.919416,"[['h', '-', 'crx(1,1.590224620860867)'], ['-', '-', 'h'], ['-', '-', 'rz(0.37235542130596105)'], ['crx(2,0.7905400391575377)', 'h', '-'], ['crx(1,1.5716243686973737)', 't', '-']]"
19999,8,0.919413,"[['h', '-', 'crx(1,1.5902844573421269)'], ['-', '-', 'h'], ['-', '-', 'rz(0.3867745633050536)'], ['crx(2,0.7803634178554498)', 'h', '-'], ['crx(1,1.5495577560072116)', 't', '-']]"
19999,9,0.919408,"[['h', '-', 'crx(1,1.569661673290716)'], ['-', '-', 'h'], ['-', '-', 'rz(0.38560983513637237)'], ['crx(2,0.7881628949673719)', 'h', '-'], ['crx(1,1.5434624665345147)', 't', '-']]"
