Rank,Fitness,Chromosome
0,0.977004,"[['-', 'cry(0,1.572217447570818)'], ['ryy(1,1.5714051064968924)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
1,0.977003,"[['-', 'cry(0,1.572767319311543)'], ['ryy(1,1.5691833308583203)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
2,0.977003,"[['-', 'cry(0,1.5706378997731594)'], ['ryy(1,1.5731881504601823)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
3,0.977002,"[['-', 'cry(0,1.5677041179308877)'], ['ryy(1,1.5727311243984452)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
4,0.977002,"[['-', 'cry(0,1.5738176088431637)'], ['ryy(1,1.5729141099123605)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
5,0.977002,"[['-', 'cry(0,1.5745752950852343)'], ['ryy(1,1.5693011742346927)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
6,0.977002,"[['-', 'cry(0,1.5685797221351145)'], ['ryy(1,1.5681441822324151)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
7,0.977002,"[['-', 'cry(0,1.5690878856126895)'], ['ryy(1,1.5678742628704496)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
8,0.977001,"[['-', 'cry(0,1.5668805964834305)'], ['ryy(1,1.572923031844322)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
9,0.977001,"[['-', 'cry(0,1.5724985730897485)'], ['ryy(1,1.56748478064789)', '-'], ['cx(1)', '-'], ['h', 'sdg']]"
