Rank,Fitness,Chromosome
0,0.941816,"[['-', 'rx(1,1.5753135223415262)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.7939144640117518)', 'rx(1,0.7616351676962666)'], ['cz(1,0)', '-']]"
1,0.941725,"[['-', 'rx(1,1.549228597112014)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.7721445099822604)', 'rx(1,0.7654409938916928)'], ['cz(1,0)', '-']]"
2,0.941673,"[['-', 'rx(1,1.581499152741658)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.7982066833650415)', 'rx(1,0.8166572097873829)'], ['cz(1,0)', '-']]"
3,0.941506,"[['-', 'rx(1,1.5886414828514475)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.8201746138173287)', 'rx(1,0.7646486517033905)'], ['cz(1,0)', '-']]"
4,0.941501,"[['-', 'rx(1,1.5658690701206441)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.7663916651082151)', 'rx(1,0.7455106534386851)'], ['cz(1,0)', '-']]"
5,0.941499,"[['-', 'rx(1,1.5768828149051692)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.8295052624709679)', 'rx(1,0.7871490186073391)'], ['cz(1,0)', '-']]"
6,0.941339,"[['-', 'rx(1,1.546449803974392)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.7451631750941905)', 'rx(1,0.8066077139950838)'], ['cz(1,0)', '-']]"
7,0.941269,"[['-', 'rx(1,1.5278829680047472)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.8046644072424651)', 'rx(1,0.7581875925536118)'], ['cz(1,0)', '-']]"
8,0.941258,"[['-', 'rx(1,1.593703252560295)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.79763022837166)', 'rx(1,0.7371708258078067)'], ['cz(1,0)', '-']]"
9,0.941108,"[['-', 'rx(1,1.5201742209769498)'], ['cx(1,0)', '-'], ['-', 'h(1)'], ['rz(0,0.8132088334010337)', 'rx(1,0.7682890237396787)'], ['cz(1,0)', '-']]"
