Rank,Fitness,Chromosome
0,0.975000,"[['-', 'crx(0,1,1.570798744699224)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
1,0.975000,"[['-', 'crx(0,1,1.5707998832934116)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
2,0.975000,"[['-', 'crx(0,1,1.5708246837836513)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
3,0.975000,"[['-', 'crx(0,1,1.5708303520090958)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
4,0.975000,"[['-', 'crx(0,1,1.5708338109647029)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
5,0.975000,"[['-', 'crx(0,1,1.5707564323823926)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
6,0.975000,"[['-', 'crx(0,1,1.570862020264406)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
7,0.975000,"[['-', 'crx(0,1,1.5707225976538937)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
8,0.975000,"[['-', 'crx(0,1,1.570879653084548)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
9,0.975000,"[['-', 'crx(0,1,1.5708801949208873)'], ['cx(1,0)', '-'], ['-', 'z(1)'], ['h(0)', 'h(1)'], ['cx(1,0)', '-']]"
