Rank,Fitness,Chromosome
0,0.979995,"[['sdg', '-', 'crx(1,1.5733206714675922)'], ['w', 'h', 'h'], ['cp(1,1.5753454520200836)', '-', 'cp(0,0.7877747682346122)'], ['h', 'swap(2)', '-']]"
1,0.979989,"[['w', '-', 'crx(1,1.567678919970171)'], ['z', 'h', 'h'], ['cp(1,1.5643129812304126)', '-', 'cp(0,0.7932765052995099)'], ['h', 'swap(2)', '-']]"
2,0.979987,"[['w', '-', 'crx(1,1.5814020214893867)'], ['w', 'h', 'h'], ['cp(1,1.573367081411027)', '-', 'cp(0,0.7768383516975023)'], ['h', 'swap(2)', '-']]"
3,0.979986,"[['w', '-', 'crx(1,1.5593868999095706)'], ['z', 'h', 'h'], ['cp(1,1.5724991216562592)', '-', 'cp(0,0.7941878262167615)'], ['h', 'swap(2)', '-']]"
4,0.979986,"[['w', '-', 'crx(1,1.5593090719521785)'], ['t', 'h', 'h'], ['cp(1,1.5676471850612375)', '-', 'cp(0,0.7891154815165312)'], ['h', 'swap(2)', '-']]"
5,0.979985,"[['w', '-', 'crx(1,1.5715511495403127)'], ['w', 'h', 'h'], ['cp(1,1.5815321678031833)', '-', 'cp(0,0.7834672766558294)'], ['h', 'swap(2)', '-']]"
6,0.979985,"[['rz(0.4457264537786508)', '-', 'crx(1,1.5655439196040417)'], ['w', 'h', 'h'], ['cp(1,1.5716109780552878)', '-', 'cp(0,0.7781634493116677)'], ['h', 'swap(2)', '-']]"
7,0.979985,"[['sdg', '-', 'crx(1,1.5800193160530611)'], ['w', 'h', 'h'], ['cp(1,1.5772207814620727)', '-', 'cp(0,0.7846588797518594)'], ['h', 'swap(2)', '-']]"
8,0.979984,"[['w', '-', 'crx(1,1.5657744106879523)'], ['w', 'h', 'h'], ['cp(1,1.5701091104692566)', '-', 'cp(0,0.7773923625851631)'], ['h', 'swap(2)', '-']]"
9,0.979983,"[['w', '-', 'crx(1,1.5652055969604979)'], ['w', 'h', 'h'], ['cp(1,1.5612833902626153)', '-', 'cp(0,0.7929093035613392)'], ['h', 'swap(2)', '-']]"
