Rank,Fitness,Chromosome
0,0.984993,"[['s', '-', 'crx(1,1.5646186414531804)'], ['-', 'crx(0,1.5656602106077893)', 'crx(0,0.7877711682369513)'], ['h', 'h', 'h']]"
1,0.984990,"[['t', '-', 'crx(1,1.576583429635569)'], ['-', 'crx(0,1.5730205942982618)', 'crx(0,0.7756331690473651)'], ['h', 'h', 'h']]"
2,0.984984,"[['rz(0.5580258834540234)', '-', 'crx(1,1.5735437153800826)'], ['-', 'crx(0,1.563227173222973)', 'crx(0,0.7761399856759696)'], ['h', 'h', 'h']]"
3,0.984983,"[['w', '-', 'crx(1,1.5736403967583246)'], ['-', 'crx(0,1.580633236029791)', 'crx(0,0.7894402432619995)'], ['h', 'h', 'h']]"
4,0.984983,"[['rzz(1,0.33560635888636065)', '-', 'crx(1,1.5744969633627548)'], ['-', 'crx(0,1.5622121401025943)', 'crx(0,0.7907882884328081)'], ['h', 'h', 'h']]"
5,0.984982,"[['w', '-', 'crx(1,1.582018662789291)'], ['-', 'crx(0,1.5745214111296562)', 'crx(0,0.7857075189663834)'], ['h', 'h', 'h']]"
6,0.984982,"[['w', '-', 'crx(1,1.5835173363113524)'], ['-', 'crx(0,1.5720329223318)', 'crx(0,0.7741764055060306)'], ['h', 'h', 'h']]"
7,0.984977,"[['w', '-', 'crx(1,1.572320988246122)'], ['-', 'crx(0,1.5830238642438705)', 'crx(0,0.7790555404113975)'], ['h', 'h', 'h']]"
8,0.984977,"[['rzz(1,0.49046973034560376)', '-', 'crx(1,1.5841498177665052)'], ['-', 'crx(0,1.5649326858225319)', 'crx(0,0.7743391297524538)'], ['h', 'h', 'h']]"
9,0.984975,"[['w', '-', 'crx(1,1.5556582996629278)'], ['-', 'crx(0,1.5751111882565623)', 'crx(0,0.7960998975216439)'], ['h', 'h', 'h']]"
